date,price,high,low,open,volume,return,log_return,cumulative,asset
2013-06-06,103.61000061035156,103.94000244140624,102.9000015258789,103.0,4502,0.0055318292872639,0.0055165849133082,0.0,COM_CRUDE
2013-06-07,104.55999755859376,105.0,102.9000015258789,104.12999725341795,7588,0.0091689696230661,0.009127189812117,0.0091689696230661,COM_CRUDE
2013-06-10,103.9499969482422,104.38999938964844,103.72000122070312,104.16999816894533,4235,-0.0058339768993369,-0.0058510610205513,0.0032815011667575,COM_CRUDE
2013-06-11,102.95999908447266,103.0,101.81999969482422,102.7699966430664,4916,-0.0095237892528506,-0.009569430550279,-0.0062735404116383,COM_CRUDE
2013-06-12,103.48999786376952,104.0500030517578,102.91000366210938,103.3000030517578,3238,0.0051476183373122,0.0051344146423762,-0.0011582158659889,COM_CRUDE
2013-06-13,104.25,104.25,103.08999633789062,103.08999633789062,34,0.0073437254992594,0.0073168916407316,0.0061770040138817,COM_CRUDE
2013-06-14,104.29000091552734,104.29000091552734,104.29000091552734,104.29000091552734,4848,0.0003837018276005,0.0003836282328792,0.0065630759692114,COM_CRUDE
2013-06-18,106.0199966430664,106.22000122070312,105.26000213623048,105.27999877929688,4524,0.0165883182697479,0.0164522349846589,0.023260264631965,COM_CRUDE
2013-06-19,106.12000274658205,106.52999877929688,105.45999908447266,106.33999633789062,4520,0.0009432758600464,0.0009428312549406,0.0242254813381372,COM_CRUDE
2013-06-20,102.1500015258789,104.44000244140624,101.75,104.22000122070312,9237,-0.0374104892381469,-0.0381282189501286,-0.0140912950088988,COM_CRUDE
2013-06-21,100.91000366210938,102.6999969482422,100.08000183105467,102.62999725341795,7294,-0.0121389901639442,-0.0122132694339772,-0.0260592310813327,COM_CRUDE
2013-06-24,101.16000366210938,101.62000274658205,99.72000122070312,100.79000091552734,8744,0.0024774550681527,0.0024743912356403,-0.0236463365872947,COM_CRUDE
2013-06-25,101.26000213623048,101.91000366210938,100.94000244140624,101.8499984741211,5444,0.0009885178974005,0.0009880296353278,-0.0226811935168187,COM_CRUDE
2013-06-26,101.66000366210938,101.87000274658205,100.2699966430664,101.22000122070312,6116,0.0039502421236448,0.003942460403614,-0.0188205475992185,COM_CRUDE
2013-06-27,102.81999969482422,103.33999633789062,101.83000183105467,102.06999969482422,8070,0.0114105448645305,0.011345935617434,-0.0076247554374438,COM_CRUDE
2013-06-28,102.16000366210938,103.3000030517578,101.87999725341795,102.91000366210938,8321,-0.0064189460676303,-0.006439636088214,-0.0139947586111424,COM_CRUDE
2013-07-01,103.0,103.69000244140624,102.5199966430664,102.72000122070312,7087,0.008222360099642,0.0081887406585496,-0.0058874684563086,COM_CRUDE
2013-07-02,104.0,104.11000061035156,102.9800033569336,102.9800033569336,5326,0.0097087378640776,0.0096619109117368,0.0037641095198437,COM_CRUDE
2013-07-03,105.76000213623048,106.0199966430664,104.8000030517578,104.8000030517578,6544,0.0169230974637544,0.016781497160854,0.0207509073758667,COM_CRUDE
2013-07-05,107.72000122070312,107.8499984741211,106.18000030517578,106.3499984741211,7411,0.0185325174440518,0.0183628829733576,0.0396679913728419,COM_CRUDE
2013-07-08,107.43000030517578,107.66000366210938,106.8000030517578,107.08999633789062,4529,-0.0026921733405217,-0.0026958037564393,0.0368690249234739,COM_CRUDE
